step,kart1_X,kart1_Y,kart1_direction,kart1_speed,DrivingMode,GameMode,getFrame,current_checkpoint,surface,lap,collision_detection,status,reward,total_reward
0,3014,3057,196,0,6,2,2437,16,74,128,0,0,-1.0,-1.0
1,3014,3057,196,2,6,2,2438,16,74,128,0,0,-1.0,-2.0
2,3014,3057,196,4,6,2,2439,16,74,128,0,0,-1.0,-3.0
3,3014,3057,196,6,6,2,2440,16,74,128,0,0,-1.0,-4.0
4,3014,3057,196,8,6,2,2441,16,74,128,0,0,-1.0,-5.0
5,3014,3057,196,10,6,2,2442,16,74,128,0,0,-1.0,-6.0
6,3014,3057,196,12,6,2,2443,16,74,128,0,0,-1.0,-7.0
7,3013,3057,196,14,6,2,2444,16,74,128,0,0,-1.0,-8.0
8,3013,3057,196,16,6,2,2445,16,74,128,0,0,-1.0,-9.0
9,3013,3057,196,18,6,2,2446,16,74,128,0,0,-1.0,-10.0
10,3013,3057,196,20,6,2,2447,16,74,128,0,0,-1.0,-11.0
11,3012,3057,196,16,6,2,2448,16,74,128,0,0,-1.0,-12.0
12,3012,3057,196,12,6,2,2449,16,74,128,0,0,-1.0,-13.0
13,3012,3057,196,14,6,2,2450,16,74,128,0,0,-1.0,-14.0
14,3012,3057,196,16,6,2,2451,16,74,128,0,0,-1.0,-15.0
15,3011,3057,196,18,6,2,2452,16,74,128,0,0,-1.0,-16.0
16,3011,3057,196,20,6,2,2453,16,74,128,0,0,-1.0,-17.0
17,3011,3057,196,22,6,2,2454,16,74,128,0,0,-1.0,-18.0
18,3011,3057,196,24,6,2,2455,16,74,128,0,0,-1.0,-19.0
19,3010,3057,196,26,6,2,2456,16,74,128,0,0,-1.0,-20.0
20,3010,3057,196,28,6,2,2457,16,74,128,0,0,-1.0,-21.0
21,3009,3057,196,30,6,2,2458,16,74,128,0,0,-1.0,-22.0
22,3009,3057,196,32,6,2,2459,16,74,128,0,0,-1.0,-23.0
23,3008,3057,196,34,6,2,2460,16,74,128,0,0,-1.0,-24.0
24,3008,3057,196,36,6,2,2461,16,74,128,0,0,-1.0,-25.0
25,3007,3057,196,38,6,2,2462,16,72,128,0,0,-1.0,-26.0
26,3007,3057,196,40,6,2,2463,16,72,128,0,0,-1.0,-27.0
27,3006,3057,196,42,6,2,2464,16,72,128,0,0,-1.0,-28.0
28,3005,3057,196,44,6,2,2465,16,72,128,0,0,-1.0,-29.0
29,3005,3057,196,46,6,2,2466,16,72,128,0,0,-1.0,-30.0
30,3004,3057,196,48,6,2,2467,16,72,128,0,0,-1.0,-31.0
31,3003,3057,196,50,6,2,2468,16,72,128,0,0,-1.0,-32.0
32,3002,3057,196,52,6,2,2469,16,72,128,0,0,-1.0,-33.0
33,3002,3057,196,54,6,2,2470,16,72,128,0,0,-1.0,-34.0
34,3001,3056,196,56,6,2,2471,16,72,128,0,0,-1.0,-35.0
35,3000,3056,196,58,6,2,2472,16,72,128,0,0,-1.0,-36.0
36,2999,3056,196,60,6,2,2473,16,72,128,0,0,-1.0,-37.0
37,2998,3056,196,62,6,2,2474,16,72,128,0,0,-1.0,-38.0
38,2997,3056,195,64,6,2,2475,16,72,128,0,0,-1.0,-39.0
39,2996,3056,195,70,6,2,2476,16,72,128,0,0,-1.0,-40.0
40,2995,3056,195,76,6,2,2477,16,72,128,0,0,-1.0,-41.0
41,2994,3056,195,82,6,2,2478,16,72,128,0,0,-1.0,-42.0
42,2993,3056,195,88,6,2,2479,16,72,128,0,0,-1.0,-43.0
43,2991,3056,195,94,6,2,2480,16,72,128,0,0,-1.0,-44.0
44,2990,3056,195,100,6,2,2481,16,72,128,0,0,-1.0,-45.0
45,2988,3056,195,106,6,2,2482,16,72,128,0,0,-1.0,-46.0
46,2986,3056,194,112,6,2,2483,16,72,128,0,0,-1.0,-47.0
47,2985,3055,194,118,6,2,2484,16,72,128,0,0,-1.0,-48.0
48,2983,3055,194,114,6,2,2485,16,72,128,0,0,-1.0,-49.0
49,2981,3055,194,120,6,2,2486,16,72,128,0,0,-1.0,-50.0
50,2979,3055,194,126,6,2,2487,16,72,128,0,0,-1.0,-51.0
51,2977,3055,194,132,6,2,2488,16,72,128,0,0,-1.0,-52.0
52,2975,3055,194,136,6,2,2489,16,72,128,0,0,-1.0,-53.0
53,2973,3055,194,140,6,2,2490,16,72,128,0,0,-1.0,-54.0
54,2971,3055,194,144,6,2,2491,16,72,128,0,0,-1.0,-55.0
55,2969,3055,194,148,6,2,2492,16,72,128,0,0,-1.0,-56.0
56,2966,3055,194,152,6,2,2493,16,72,128,0,0,-1.0,-57.0
57,2964,3055,194,148,6,2,2494,16,72,128,0,0,-1.0,-58.0
58,2962,3055,194,152,6,2,2495,16,72,128,0,0,-1.0,-59.0
59,2959,3055,194,156,6,2,2496,16,72,128,0,0,-1.0,-60.0
60,2957,3054,194,160,6,2,2497,16,72,128,0,0,-1.0,-61.0
61,2954,3054,194,164,6,2,2498,16,72,128,0,0,-1.0,-62.0
62,2952,3054,194,168,6,2,2499,16,72,128,0,0,-1.0,-63.0
63,2949,3054,194,172,6,2,2500,16,72,128,0,0,-1.0,-64.0
64,2946,3054,194,176,6,2,2501,16,72,128,0,0,-1.0,-65.0
65,2944,3054,194,180,6,2,2502,16,72,128,0,0,-1.0,-66.0
66,2941,3054,194,184,6,2,2503,16,92,128,0,0,-1.0,-67.0
67,2938,3054,194,188,6,2,2504,16,92,128,0,0,-1.0,-68.0
68,2935,3054,193,192,6,2,2505,16,92,128,0,0,-1.0,-69.0
69,2932,3054,193,200,6,2,2506,16,92,128,0,0,-1.0,-70.0
70,2929,3054,193,208,6,2,2507,16,92,128,0,0,-1.0,-71.0
71,2926,3053,193,216,6,2,2508,16,92,128,0,0,-1.0,-72.0
72,2922,3053,193,224,6,2,2509,16,92,128,0,0,-1.0,-73.0
73,2919,3053,193,232,6,2,2510,16,92,128,0,0,-1.0,-74.0
74,2915,3053,193,240,6,2,2511,16,92,128,0,0,-1.0,-75.0
75,2911,3053,193,248,6,2,2512,16,92,128,0,0,-1.0,-76.0
76,2908,3053,193,256,6,2,2513,16,92,128,0,0,-1.0,-77.0
77,2904,3053,193,268,6,2,2514,16,92,128,0,0,-1.0,-78.0
78,2899,3053,193,280,6,2,2515,16,92,128,0,0,-1.0,-79.0
79,2895,3053,193,292,6,2,2516,16,92,128,0,0,-1.0,-80.0
80,2890,3053,193,304,6,2,2517,16,92,128,0,0,-1.0,-81.0
81,2886,3053,193,316,6,2,2518,16,92,128,0,0,-1.0,-82.0
82,2881,3053,193,328,6,2,2519,16,92,128,0,0,-1.0,-83.0
83,2876,3052,193,340,6,2,2520,16,92,128,0,0,-1.0,-84.0
84,2870,3052,193,352,6,2,2521,16,92,128,0,0,-1.0,-85.0
85,2865,3052,193,364,6,2,2522,16,92,128,0,0,-1.0,-86.0
86,2859,3052,193,376,6,2,2523,16,92,128,0,0,-1.0,-87.0
87,2853,3052,192,370,6,2,2524,16,92,128,0,0,-1.0,-88.0
88,2847,3052,192,382,6,2,2525,16,92,128,0,0,-1.0,-89.0
89,2842,3052,192,394,6,2,2526,16,92,128,0,0,-1.0,-90.0
90,2835,3052,192,406,6,2,2527,16,92,128,0,0,-1.0,-91.0
91,2829,3052,192,418,6,2,2528,16,92,128,0,0,-1.0,-92.0
92,2822,3052,191,430,6,2,2529,16,92,128,0,0,-1.0,-93.0
93,2816,3053,191,442,6,2,2530,16,92,128,0,0,-1.0,-94.0
94,2809,3053,191,454,6,2,2531,17,92,128,0,0,-1.0,-95.0
95,2802,3053,191,462,6,2,2532,17,92,128,0,0,-1.0,-96.0
96,2795,3053,190,470,6,2,2533,17,92,128,0,0,-1.0,-97.0
97,2787,3054,190,478,6,2,2534,17,92,128,0,0,-1.0,-98.0
98,2780,3054,190,486,6,2,2535,17,92,128,0,0,-1.0,-99.0
99,2772,3054,190,494,6,2,2536,17,92,128,0,0,-1.0,-100.0
100,2764,3055,190,502,6,2,2537,17,92,128,0,0,-1.0,-101.0
101,2757,3055,190,510,6,2,2538,17,92,128,0,0,-1.0,-102.0
102,2749,3056,190,518,6,2,2539,17,92,128,0,0,-1.0,-103.0
103,2741,3056,190,526,6,2,2540,17,92,128,0,0,-1.0,-104.0
104,2732,3057,190,534,6,2,2541,17,92,128,0,0,-1.0,-105.0
105,2724,3057,189,542,6,2,2542,17,92,128,0,0,-1.0,-106.0
106,2716,3058,189,550,6,2,2543,17,92,128,0,0,-1.0,-107.0
107,2707,3058,189,558,6,2,2544,17,92,128,0,0,-1.0,-108.0
108,2698,3059,189,566,6,2,2545,17,92,128,0,0,-1.0,-109.0
109,2689,3060,189,574,6,2,2546,17,92,128,0,0,-1.0,-110.0
110,2680,3061,189,582,6,2,2547,17,92,128,0,0,-1.0,-111.0
111,2671,3061,189,566,6,2,2548,17,92,128,0,0,-1.0,-112.0
112,2663,3062,189,574,6,2,2549,17,92,128,0,0,-1.0,-113.0
113,2654,3063,189,582,6,2,2550,17,92,128,0,0,-1.0,-114.0
114,2645,3064,189,566,6,2,2551,17,92,128,0,0,-1.0,-115.0
115,2636,3065,189,574,6,2,2552,17,92,128,0,0,-1.0,-116.0
116,2627,3065,189,582,6,2,2553,17,92,128,0,0,-1.0,-117.0
117,2618,3066,189,566,6,2,2554,17,92,128,0,0,-1.0,-118.0
118,2609,3067,189,574,6,2,2555,17,92,128,0,0,-1.0,-119.0
119,2600,3068,189,582,6,2,2556,17,92,128,0,0,-1.0,-120.0
120,2591,3069,189,566,6,2,2557,17,92,128,0,0,-1.0,-121.0
121,2582,3069,189,574,6,2,2558,17,92,128,0,0,-1.0,-122.0
122,2573,3070,189,582,6,2,2559,17,92,128,0,0,-1.0,-123.0
123,2564,3071,189,566,6,2,2560,17,92,128,0,0,-1.0,-124.0
124,2555,3072,189,574,6,2,2561,18,72,128,0,0,-1.0,-125.0
125,2546,3073,189,582,6,2,2562,18,72,128,0,0,-1.0,-126.0
126,2537,3073,189,586,6,2,2563,18,72,128,0,0,-1.0,-127.0
127,2528,3074,189,590,6,2,2564,18,72,128,0,0,-1.0,-128.0
128,2519,3075,189,594,6,2,2565,18,72,128,0,0,-1.0,-129.0
129,2510,3076,189,598,6,2,2566,18,72,128,0,0,-1.0,-130.0
130,2500,3077,189,602,6,2,2567,18,72,128,0,0,-1.0,-131.0
131,2491,3078,189,606,6,2,2568,18,72,128,0,0,-1.0,-132.0
132,2482,3078,189,610,6,2,2569,18,72,128,0,0,-1.0,-133.0
133,2472,3079,189,614,6,2,2570,18,72,128,0,0,-1.0,-134.0
134,2463,3080,189,618,6,2,2571,18,74,128,0,0,-1.0,-135.0
135,2453,3081,189,622,6,2,2572,18,74,128,0,0,-1.0,-136.0
136,2443,3082,189,626,6,2,2573,18,74,128,0,0,-1.0,-137.0
137,2434,3083,189,630,6,2,2574,18,74,128,0,0,-1.0,-138.0
138,2424,3084,189,634,6,2,2575,18,74,128,0,0,-1.0,-139.0
139,2414,3084,189,638,6,2,2576,18,74,128,0,0,-1.0,-140.0
140,2404,3085,189,642,6,2,2577,18,74,128,0,0,-1.0,-141.0
141,2394,3086,189,644,6,2,2578,18,74,128,0,0,-1.0,-142.0
142,2384,3087,189,646,6,2,2579,18,74,128,0,0,-1.0,-143.0
143,2374,3088,189,648,6,2,2580,18,74,128,0,0,-1.0,-144.0
144,2364,3089,189,650,6,2,2581,18,74,128,0,0,-1.0,-145.0
145,2354,3089,189,652,6,2,2582,18,74,128,0,0,-1.0,-146.0
146,2343,3090,189,654,6,2,2583,18,74,128,0,0,-1.0,-147.0
147,2333,3091,189,656,6,2,2584,18,74,128,0,0,-1.0,-148.0
148,2323,3092,189,658,6,2,2585,18,74,128,0,0,-1.0,-149.0
149,2313,3092,189,660,6,2,2586,18,74,128,0,0,-1.0,-150.0
150,2302,3093,189,662,6,2,2587,19,74,128,0,0,-1.0,-151.0
151,2292,3094,189,664,6,2,2588,19,74,128,0,0,-1.0,-152.0
152,2282,3095,189,666,6,2,2589,19,74,128,0,0,-1.0,-153.0
153,2271,3095,189,668,6,2,2590,19,74,128,0,0,-1.0,-154.0
154,2261,3096,189,670,6,2,2591,19,74,128,0,0,-1.0,-155.0
155,2250,3097,189,672,6,2,2592,19,74,128,0,0,-1.0,-156.0
156,2240,3098,189,674,6,2,2593,19,74,128,0,0,-1.0,-157.0
